Date,(INDEX) S&P Composite 1500 / Health Care - SEC - Total Return    
8/4/2016,41.26
8/5/2016,41.64
8/8/2016,40.46
8/9/2016,40.81
8/10/2016,40.22
8/11/2016,41
8/12/2016,40.74
8/15/2016,41
8/16/2016,39.72
8/17/2016,39.94
8/18/2016,40.01
8/19/2016,39.95
8/22/2016,40.16
8/23/2016,40.32
8/24/2016,38.1
8/25/2016,37.05
8/26/2016,37.53
8/29/2016,37.97
8/30/2016,37.44
8/31/2016,37.07
9/1/2016,36.82
9/2/2016,36.98
9/5/2016,36.98
9/6/2016,37.49
9/7/2016,37.51
9/8/2016,37.64
9/9/2016,34.77
9/12/2016,36.89
9/13/2016,34.91
9/14/2016,34.84
9/15/2016,36.35
9/16/2016,36.52
9/19/2016,36.02
9/20/2016,36.49
9/21/2016,37.82
9/22/2016,38.88
9/23/2016,38.33
9/26/2016,36.64
9/27/2016,37.67
9/28/2016,37.55
9/29/2016,35.04
9/30/2016,36.46
10/3/2016,36.23
10/4/2016,36.02
10/5/2016,36.52
10/6/2016,36
10/7/2016,36.11
10/10/2016,36.76
10/11/2016,33.34
10/12/2016,32.66
10/13/2016,32.72
10/14/2016,31.81
10/17/2016,31.54
10/18/2016,32.94
10/19/2016,32.49
10/20/2016,33.11
10/21/2016,31.93
10/24/2016,31.8
10/25/2016,31.3
10/26/2016,30.21
10/27/2016,30.63
10/28/2016,27.98
10/31/2016,27.36
11/1/2016,26.7
11/2/2016,26.08
11/3/2016,24.69
11/4/2016,25.64
11/7/2016,28.73
11/8/2016,29.11
11/9/2016,33.24
11/10/2016,34.82
11/11/2016,33.01
11/14/2016,32.76
11/15/2016,33.2
11/16/2016,32.59
11/17/2016,33.25
11/18/2016,31.91
11/21/2016,32.31
11/22/2016,30.53
11/23/2016,31.1
11/24/2016,31.1
11/25/2016,31.66
11/28/2016,30.51
11/29/2016,31.35
11/30/2016,30.12
12/1/2016,29.08
12/2/2016,29.49
12/5/2016,29.4
12/6/2016,29.79
12/7/2016,28.79
12/8/2016,29.12
12/9/2016,30.64
12/12/2016,31.3
12/13/2016,32.22
12/14/2016,31.63
12/15/2016,32.45
12/16/2016,32.61
12/19/2016,31.96
12/20/2016,31.92
12/21/2016,31.18
12/22/2016,31.33
12/23/2016,32.39
12/26/2016,32.39
12/27/2016,32.57
12/28/2016,31.6
12/29/2016,31.76
12/30/2016,31.28
1/2/2017,31.28
1/3/2017,33.04
1/4/2017,34.09
1/5/2017,34.64
1/6/2017,35.06
1/9/2017,35.71
1/10/2017,36.2
1/11/2017,34.91
1/12/2017,34.99
1/13/2017,35.21
1/16/2017,35.21
1/17/2017,34.55
1/18/2017,34.39
1/19/2017,33.51
1/20/2017,33.15
1/23/2017,32.56
1/24/2017,31.84
1/25/2017,32.99
1/26/2017,32.02
1/27/2017,33.04
1/30/2017,32.4
1/31/2017,34.29
2/1/2017,35.33
2/2/2017,35.46
2/3/2017,36.32
2/6/2017,36.22
2/7/2017,36.28
2/8/2017,36.1
2/9/2017,36.79
2/10/2017,36.98
2/13/2017,37.89
2/14/2017,38.93
2/15/2017,40.52
2/16/2017,40.29
2/17/2017,40.5
2/20/2017,40.5
2/21/2017,41.18
2/22/2017,40.9
2/23/2017,41.89
2/24/2017,42.62
2/27/2017,43.25
2/28/2017,42.82
3/1/2017,44.32
3/2/2017,43.98
3/3/2017,44.52
3/6/2017,43.82
3/7/2017,42.86
3/8/2017,43.34
3/9/2017,44.15
3/10/2017,44.65
3/13/2017,44.56
3/14/2017,44.05
3/15/2017,45.79
3/16/2017,44.49
3/17/2017,43.82
3/20/2017,43.55
3/21/2017,42.33
3/22/2017,42.48
3/23/2017,41.99
3/24/2017,42.05
3/27/2017,42.61
3/28/2017,42.71
3/29/2017,42.72
3/30/2017,42.73
3/31/2017,42.38
4/3/2017,42.42
4/4/2017,42.31
4/5/2017,41.82
4/6/2017,42.07
4/7/2017,42.35
4/10/2017,42.15
4/11/2017,42.04
4/12/2017,42.01
4/13/2017,41.61
4/14/2017,41.61
4/17/2017,42.07
4/18/2017,40.71
4/19/2017,41.12
4/20/2017,41.91
4/21/2017,41.21
4/24/2017,42.57
4/25/2017,43.23
4/26/2017,43.96
4/27/2017,44.37
4/28/2017,44.75
5/1/2017,45.03
5/2/2017,45.51
5/3/2017,44.91
5/4/2017,45.72
5/5/2017,45.67
5/8/2017,44.83
5/9/2017,45
5/10/2017,44.73
5/11/2017,44.8
5/12/2017,44.54
5/15/2017,45.42
5/16/2017,44.89
5/17/2017,42.99
5/18/2017,43.56
5/19/2017,43.99
5/22/2017,44.34
5/23/2017,44.8
5/24/2017,45.17
5/25/2017,45.94
5/26/2017,45.67
5/29/2017,45.67
5/30/2017,45.42
5/31/2017,46.03
6/1/2017,47.86
6/2/2017,48.75
6/5/2017,48.28
6/6/2017,47.88
6/7/2017,48.32
6/8/2017,48.15
